isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
20,16PR008B.1,Pythium torulosum,2,2,0.5,8.79,8.29,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,0.5,8.74,5.92,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,1,3.85,6.24,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,2,1,7.67,6.91,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,1,5.23,5.11,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,2,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,0,41.43,42.16,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,0,39.19,39.49,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,0,41,40.5,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,0.01,31.51,30.17,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,0.01,29.67,30.29,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,0.01,31.74,31.74,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,0.1,17.8,14.88,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,0.1,15.14,14.09,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,0.1,16.09,14.97,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,0.5,10,10.94,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,0.5,11.04,10.19,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,0.5,8.71,8.09,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,1,3.89,3.98,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,1,9.19,9.12,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,1,5.79,4.88,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,1,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,2,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,1,3,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,0,39.5,39.84,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,0,41.27,40.72,Azoxystrobin
